Date,Group,Item,Value
2010-03-01,Rural goods,Rural goods,2369
2010-04-01,Rural goods,Rural goods,2067
2010-05-01,Rural goods,Rural goods,2514
2010-06-01,Rural goods,Rural goods,2434
2010-07-01,Rural goods,Rural goods,2555
2010-08-01,Rural goods,Rural goods,2384
2010-09-01,Rural goods,Rural goods,2119
2010-10-01,Rural goods,Rural goods,2360
2010-11-01,Rural goods,Rural goods,2212
2010-12-01,Rural goods,Rural goods,2489
2011-01-01,Rural goods,Rural goods,2044
2011-02-01,Rural goods,Rural goods,2651
2011-03-01,Rural goods,Rural goods,2853
2011-04-01,Rural goods,Rural goods,2819
2011-05-01,Rural goods,Rural goods,3077
2011-06-01,Rural goods,Rural goods,2910
2011-07-01,Rural goods,Rural goods,2829
2011-08-01,Rural goods,Rural goods,2930
2011-09-01,Rural goods,Rural goods,2779
2011-10-01,Rural goods,Rural goods,2960
2011-11-01,Rural goods,Rural goods,2851
2011-12-01,Rural goods,Rural goods,3048
2012-01-01,Rural goods,Rural goods,2428
2012-02-01,Rural goods,Rural goods,2640
2012-03-01,Rural goods,Rural goods,2997
2012-04-01,Rural goods,Rural goods,2884
2012-05-01,Rural goods,Rural goods,3244
2012-06-01,Rural goods,Rural goods,3150
2012-07-01,Rural goods,Rural goods,2969
2012-08-01,Rural goods,Rural goods,2904
2012-09-01,Rural goods,Rural goods,2761
2012-10-01,Rural goods,Rural goods,2921
2012-11-01,Rural goods,Rural goods,2831
2012-12-01,Rural goods,Rural goods,3079
2013-01-01,Rural goods,Rural goods,2428
2013-02-01,Rural goods,Rural goods,2987
2013-03-01,Rural goods,Rural goods,3333
2013-04-01,Rural goods,Rural goods,3166
2013-05-01,Rural goods,Rural goods,3535
2013-06-01,Rural goods,Rural goods,3366
2013-07-01,Rural goods,Rural goods,3357
2013-08-01,Rural goods,Rural goods,3235
2013-09-01,Rural goods,Rural goods,2858
2013-10-01,Rural goods,Rural goods,2999
2013-11-01,Rural goods,Rural goods,2959
2013-12-01,Rural goods,Rural goods,3694
2014-01-01,Rural goods,Rural goods,3195
2014-02-01,Rural goods,Rural goods,3460
2014-03-01,Rural goods,Rural goods,3813
2014-04-01,Rural goods,Rural goods,3280
2014-05-01,Rural goods,Rural goods,3505
2014-06-01,Rural goods,Rural goods,3441
2014-07-01,Rural goods,Rural goods,3530
2014-08-01,Rural goods,Rural goods,3153
2014-09-01,Rural goods,Rural goods,3057
2014-10-01,Rural goods,Rural goods,3078
2014-11-01,Rural goods,Rural goods,3199
2014-12-01,Rural goods,Rural goods,3844
2015-01-01,Rural goods,Rural goods,2944
2015-02-01,Rural goods,Rural goods,3855
2015-03-01,Rural goods,Rural goods,4143
2015-04-01,Rural goods,Rural goods,3693
2015-05-01,Rural goods,Rural goods,4167
2015-06-01,Rural goods,Rural goods,3945
2015-07-01,Rural goods,Rural goods,3740
2015-08-01,Rural goods,Rural goods,3707
2015-09-01,Rural goods,Rural goods,3481
2015-10-01,Rural goods,Rural goods,3504
2015-11-01,Rural goods,Rural goods,3877
2015-12-01,Rural goods,Rural goods,4067
2016-01-01,Rural goods,Rural goods,3128
2016-02-01,Rural goods,Rural goods,3460
2016-03-01,Rural goods,Rural goods,3590
2016-04-01,Rural goods,Rural goods,3481
2016-05-01,Rural goods,Rural goods,3676
2016-06-01,Rural goods,Rural goods,3444
2016-07-01,Rural goods,Rural goods,3563
2016-08-01,Rural goods,Rural goods,3468
2016-09-01,Rural goods,Rural goods,3328
2016-10-01,Rural goods,Rural goods,3159
2016-11-01,Rural goods,Rural goods,3746
2016-12-01,Rural goods,Rural goods,4506
2017-01-01,Rural goods,Rural goods,3818
2017-02-01,Rural goods,Rural goods,3839
2017-03-01,Rural goods,Rural goods,4422
2017-04-01,Rural goods,Rural goods,4003
2017-05-01,Rural goods,Rural goods,4520
2017-06-01,Rural goods,Rural goods,4195
2017-07-01,Rural goods,Rural goods,4376
2017-08-01,Rural goods,Rural goods,4073
